UBIGEO,DEPARTAMENTO,NOMBPROV,POBLACION,POBREZA_INF,POBREZA_SUP,POBREZA_MID
040300,AREQUIPA,CARAVELÍ,43690,10.22,15.13,12.68
150600,LIMA,HUARAL,194375,10.03,14.54,12.28
150200,LIMA,BARRANCA,151095,9.89,14.61,12.25
140100,LAMBAYEQUE,CHICLAYO,862709,10.62,12.88,11.75
240200,TUMBES,CONTRALMIRANTE VILLAR,24127,7.04,14.56,10.8
250300,UCAYALI,PADRE ABAD,77044,8.15,12.95,10.55
240100,TUMBES,TUMBES,171356,8.32,12.08,10.2
040700,AREQUIPA,ISLAY,54851,7.77,12.58,10.18
250100,UCAYALI,CORONEL PORTILLO,447733,7.98,11.01,9.49
240300,TUMBES,ZARUMILLA,56038,7.16,11.76,9.46
080100,CUSCO,CUSCO,511019,6.18,10.1,8.14
180100,MOQUEGUA,MARISCAL NIETO,95551,6.86,9.33,8.09
230300,TACNA,JORGE BASADRE,12549,5.26,10.54,7.9
040100,AREQUIPA,AREQUIPA,1175765,5.53,7.44,6.49
170200,MADRE DE DIOS,MANU,21118,4.16,8.77,6.46
180300,MOQUEGUA,ILO,82686,4.47,7.54,6.0
170300,MADRE DE DIOS,TAHUAMANU,12479,3.13,7.41,5.27
170100,MADRE DE DIOS,TAMBOPATA,140214,3.65,6.63,5.14
110400,ICA,PALPA,14832,2.4,6.96,4.68
110500,ICA,PISCO,174016,2.54,4.83,3.68
110100,ICA,ICA,445752,2.36,4.05,3.2
110200,ICA,CHINCHA,262110,2.07,4.2,3.13
110300,ICA,NASCA,78472,1.67,4.54,3.11
