Datetime,COMED_MW,FE_MW,DEOK_MW,PJMW_MW
2012-05-21,10918.583333333334,8321.083333333334,3271.0,5225.041666666667
2012-05-22,10629.666666666666,7610.541666666667,2954.2083333333335,5292.958333333333
2012-05-23,11051.541666666666,7782.666666666667,3087.875,5336.708333333333
2012-05-24,12813.875,8488.666666666666,3316.25,5452.416666666667
2012-05-25,12769.875,9019.833333333334,3495.5416666666665,5715.166666666667
2012-05-26,10441.125,7645.25,3476.0833333333335,5528.125
2012-05-27,12400.208333333334,7331.708333333333,3487.25,5410.708333333333
2012-05-28,13782.666666666666,8254.541666666666,3615.8333333333335,5633.958333333333
2012-05-29,13404.25,9053.083333333334,3518.6666666666665,6111.083333333333
2012-05-30,11045.041666666666,8159.333333333333,3344.0,5747.833333333333
2012-05-31,10337.166666666666,7557.666666666667,3111.4166666666665,5455.583333333333
2012-06-01,10126.25,7267.375,2827.0,5065.625
2012-06-02,9351.25,6237.541666666667,2445.6666666666665,4391.916666666667
2012-06-03,9403.125,6101.041666666667,2544.1666666666665,4262.708333333333
2012-06-04,11171.958333333334,7265.166666666667,3062.875,4808.333333333333
2012-06-05,10922.708333333334,7143.5,2829.9166666666665,4766.375
2012-06-06,11032.625,7257.333333333333,2847.9583333333335,4872.666666666667
2012-06-07,11429.583333333334,7611.208333333333,3008.0,4988.541666666667
2012-06-08,12521.583333333334,7869.125,3151.4166666666665,5083.583333333333
2012-06-09,12877.833333333334,7613.875,3061.8333333333335,4956.041666666667
2012-06-10,13140.416666666666,7965.791666666667,3141.0416666666665,5204.291666666667
2012-06-11,15121.458333333334,8715.791666666666,3388.5,5670.333333333333
2012-06-12,12784.25,9019.458333333334,3577.0,5760.458333333333
2012-06-13,11233.291666666666,7633.958333333333,3152.9166666666665,5353.833333333333
2012-06-14,12020.833333333334,7715.166666666667,3106.6666666666665,5313.375
2012-06-15,13820.958333333334,8455.375,3425.5416666666665,5387.75
2012-06-16,13845.75,8092.375,3516.5416666666665,4935.916666666667
2012-06-17,12755.833333333334,7401.166666666667,3284.7916666666665,4711.416666666667
2012-06-18,15914.0,8852.5,3755.7916666666665,5363.041666666667
2012-06-19,17402.75,9968.666666666666,3912.875,6103.875
2012-06-20,17394.166666666668,10402.625,4007.2083333333335,6609.333333333333
2012-06-21,15270.166666666666,10444.625,4069.25,6809.25
2012-06-22,13587.041666666666,9220.125,3780.6666666666665,6306.666666666667
2012-06-23,12456.958333333334,7638.125,3341.8333333333335,5338.333333333333
2012-06-24,12693.541666666666,7377.958333333333,3452.4583333333335,5189.958333333333
2012-06-25,12451.666666666666,8085.208333333333,3683.75,5435.416666666667
2012-06-26,12430.833333333334,7761.75,3144.8333333333335,4894.0
2012-06-27,14179.625,8407.875,3405.5416666666665,5281.25
2012-06-28,17620.666666666668,9976.458333333334,4013.6666666666665,5982.208333333333
2012-06-29,15896.958333333334,10653.125,4113.0,6675.125
2012-06-30,14385.625,8371.833333333334,3525.0416666666665,4695.75
2012-07-01,13906.666666666666,8666.958333333334,3563.375,5379.958333333333
2012-07-02,16766.583333333332,9499.583333333334,3800.625,5870.0
2012-07-03,17821.083333333332,9179.416666666666,4114.458333333333,5855.625
2012-07-04,17263.416666666668,9227.166666666666,4011.0,5672.875
2012-07-05,18769.333333333332,9386.458333333334,4343.666666666667,6309.416666666667
2012-07-06,19733.208333333332,10385.166666666666,4344.125,6619.083333333333
2012-07-07,17183.583333333332,10274.083333333334,4380.791666666667,6565.5
